epoch,train_loss,train_accuracy,test_accuracy
1,5.9675,0.5045,0.5045
2,5.4713,0.5543,0.5405
3,5.2743,0.5656,0.5495
4,5.1853,0.586,0.5495
5,5.1076,0.6041,0.5495
6,4.7583,0.6222,0.5586
7,4.5919,0.6267,0.5676
8,4.3681,0.6357,0.5766
9,4.3353,0.6538,0.5946
10,4.1424,0.6765,0.6216
11,3.9141,0.69,0.6667
12,4.0003,0.7217,0.7207
13,3.9543,0.7602,0.7477
14,3.8222,0.7851,0.7838
15,3.706,0.7986,0.7838
16,3.6527,0.8213,0.8198
17,3.5333,0.8348,0.8378
18,3.3166,0.8484,0.8378
19,3.2899,0.8688,0.8468
20,3.2478,0.8824,0.8559
21,3.1333,0.8959,0.8559
22,3.1138,0.914,0.8649
23,3.0049,0.9163,0.8649
24,2.9922,0.9208,0.8739
25,2.8837,0.9276,0.8829
26,2.775,0.9299,0.9009
27,2.7373,0.9434,0.9099
28,2.5915,0.948,0.9099
29,2.5939,0.948,0.9099
30,2.6115,0.948,0.9099
31,2.4207,0.948,0.9099
32,2.3762,0.9502,0.9099
33,2.365,0.9502,0.9099
34,2.2323,0.9502,0.9099
35,2.2127,0.948,0.9189
36,2.2161,0.9502,0.9189
37,2.1638,0.9502,0.9369
38,2.0395,0.9548,0.9189
39,2.0555,0.9548,0.9189
40,1.9568,0.9548,0.9279
41,1.9557,0.9593,0.9279
42,1.9199,0.9615,0.9279
43,1.921,0.9615,0.9279
44,1.8159,0.9615,0.9279
45,1.6784,0.9661,0.9369
